text	label
제가 진짜 왠만하면 좋은후기 남기는데 이건 너무해요 ㅠㅠ 초록매실 사진보고 주문했는데 열흘가까이 지나서 온게 거의 살구 자두 수준으로 익어서 왔어요 ㅠㅠ 일단 힘들게 다 손질했는데 장아찌 담궈 먹을수 있을지 ㅠㅠ 아삭아니고 벌써 물렀네여ㅠㅠ 으스러져요	0
아이가 너무 좋아했고 초등학교 저학년인데 가볍고 부담없이 착용 할 수있는 시계인것 같아요. 방수는 생활방수라 조금 아쉽지만 그래도 마음에 듭니다~^^	1
편해요 애기 데리고 외출하거나 여행할때 필수지요~~아주 간편하고 위생적이고 좋습니다~~좀더 저렴하면 좋을듯	1
아재냄새네요... 냄새 딱 맡자마자 느낀게 최소 30대중반이상이 뿌리는 향수...	1
정말 최악임 배송받자마자 다리부분 연결고리 부러지네요 가격이 싼이유가 있어요 절대 구매하지 마세요 ㅠ	0
주문하고 다음날 받았어요~ 정말 신선하고 알도 굵고 최고에요!!! 아이들도 잘먹고 재구매의사 만프로입니다^^	1
재구매 배송은 좀 늦었지만 좋습니다.	1
선물용으로 구입했는데 받으신분이 맛있어다고 하시네요. 빠른 배송 감사드립니다.	1
배송도 빠르고 가격도저렴하고 굿입니다	1
포장도 너무 깔끔하고 아직 사용해보지는 않았지만 성능도 나쁘다는 사람이 없어 기대중입니다	1
사이즈가 상품설명에서의 그림처럼 딱 안맞아요	0
배송이졸라늦어요ㅜ투어누ㅏ나연락도잘안되고 불친절하고 사지마셍ㅎ	0
재구매 맛있어서 재구매 했어요 유통기한 길고 본죽통에 들어가고 조금 남는정도.. 단호박은 토스트에 먹고 고구마는 토스트나 그냥 막 퍼먹어요ㅋ	1
포장도 하지않아 두개중 하나는 윗부분이 부서져왔네요~아무리 바빠도 그렇지 깨지는거 뻔한데 뽁뽁이라도 한번 싸서 보내야되지않겠어요.귀찮아 그냥 내용물만 쓰긴하는데 넘 심하네요~	0
배송이 너무 늦게와서 아쉬워요 아직안해봤는데 잘사용할게요	1
배송이 거지같아요 아무도 사지마새요	0
다리부분이 너무 잘 늘어나고 덧데어진 부분은 몇 번 안입고 떨어지고 몇 번 안 입고 버렸네요	0
3mm두께 슬립!!!패드 쭉쭉 미끌어지네!!	1
이불은 너무푹신하고좋은데 너무이상한냄새가심하게나서ㅠㅠ집에서2번 빨구도저히안되겠어서 세탁소맡겼어여ㅜㅜㅜ이제안나네요ㅠ	0
증명사진사진찍으려니 잔머리가 많이 티어나왔는데 확실히잡아줘서 좋아요	1
재구매 매번 구매하는 상품입니다. 반찬 걱정될때 한팩씩 꺼내 먹으면 좋습니다~^^ 냉동실에 쟁여놓으니 든든합니다~	1
항상 쓰는 제품으로 만족합니다	1
여름 원피스 이너로 좋네요	1
머릿결이 덜 상해요	0
믿고쓰는 가오피싱 감사합니다	1
맘에 들어요 좋습니다 맛있어요 배송 빨라요	1
배송도 빨라서 좋았으며 밝기도 적당해서 괜찮습니다.	1
신선하고맛있어요 좋습니다...	1
조금 묽은편인거같아요 하늘색에 가까워요	1
내구성이 **같네요...냄새도 너무 심하고	0
배송 빨라요 생각보다 좀 크네요	1
사진과는 다르네요. 대형마트 물건과 가격이나 품질이 별반 차이가 없어서 굳이 주문할 필요가 없었네요.	0
최저가는 아니지만 저렴한 가격에 구매 하였습니다. 마감이 잘 되진 않았지만 제품품질은 이상 없습니다.	1
잘 받았습니다! 이뻐용	1
면 위생팬티 싸게잘샀네요!!	1
묶음추 완전 좋은듯 굿굿	1
제품 품질이 형편없네요 당장써야해서 환불받지는 않았는데 처음 다 조립하고 지퍼여는데 지퍼끝부분 마감도 잘 안돼있어서 지퍼가 빠져버리는군요 댓보시는분들 이케아꺼 사세요	0
여름이라서 샀는데. 골드색이 더 순하네요.. 예는 눈꼽만큼 좀 쎄네요.	0
실망이에요...제발이 240인데 그 이상되는 신발이나 발목쪽높이가 높은 운동화같은건 안되네요	0
향이 진하고 잘 퍼지는거 같아요 만족스럽네요	1
다리가 책상하고 구멍이 설계가 안맞아서 억지로 맞춰야하고 맞춰놔도 수평으로 제대로 서있질않네요.	0
재구매 포장상태가 엉망인걸넣었네요 배송중에 이렇게된건지모르겠지만 소비자입장에서 기분이영 별로	0
사출성형부분 면도칼처럼 날카러워요. 제품두개 다 그러구요. 모든 플라스틱 부분 다그럽니다. 마감 사포질 안하면 아이들 살 그냥 찢어집니다. 당장 시정하세요. 업체측에 요구하던지 승질나거 반품할라다가 귀찮아서 씁니다.	0
옷에 구멍이 나있고 색도 어떤거에 의해 변색이 되어서 왔네요. 출고할때 기본적으로 체크도 안되시는거 같은데 안타깝네요	0
끈이 너무 짧아서 별로였어요	0
핸들봉 안빼고 조립하려면 b타입으로 조립해야는데 고무 잘라서 끼워넣는 작업이 꽤마 고생스럽고 왠지 어거지러 조립한 느낌이라 몇만원 더주고 다른 제품 추천합니다	0
재구매 양도 그다지 적진않고 아이들 간식으로 딱 좋아요.	1
가성비가 좋아요!!!빨아서 입으면 얼마나 입을진 모르겠지만 일단 만족합니다!	1
물건에 하자있는걸 받아서 기분이좋지않아요 바꾸려고 신청했다가 귀찮아서 그냥쓰긴하지만 시간을돌린다면 안시킬듯ㅈ디자인자체는 예뻐요	1
박스에 딱 맞는 사이즈로, 파손이나 찌그러진 것 하나 없이 와서 너무 좋았어요! 서비스로 주신 패드도 감사합니다 :)	1
원래쓰고있는제품이라 과택도좋고 잘쓸께요~	1
퀄리티나 핏감 기대하시면 실망해요 린넨느낌이 잘 안나요 세탁하니 길이도 줄었어요 두장 구매후 면라벨 붙은거 보고 안입은거는 환불했어요 동네 수퍼갈때나 입던지 아님 장롱속 저장템 될것 같아요	0
소재가 좀 미끄러워요. 어린이집에서 순면이면 더 좋겠다고 하더라구요	0
너무 작고 귀에 살집이 많은 분들은 착용하기 힘들어요 디자인은 예뻐요 .. 귓바퀴 피어싱용으로 착용하기는 힘들어요	1
좋아요 흡수도 잘 되고 ㅎㅎ	1
며칠째 익혀서 갈아먹어도 별로네요 맛이 ㅠㅠ 에궁 맛이 너무 아쉬워요	0
ㄴ니 감사합니다 마음에 들어요 많리 파세녀 항상 영기서 구매합미자 감사파빈다 많이 퍼세뇨 감사합니더	1
깔끔하고 좋아요 배송도 굿	1
제품에 기능에선 만족합니다. 다만 포장과 배송이 넘 넘 넘 느려요 ㅠ 그래서 별두개만!!! 하지만 저렴하게 구매했습니다~	1
블루투스 리모콘이 연결이 안되고 자꾸 끊기다가 하루만에 충전도안되고 연결도안되고 고장났어요 버리고 타이머기능으로 사용했습니다ㅠㅠ	0
이번 데싱디바는 만족도가 많이 떨어지네요 붙이고 조금 뒤부터 들뜨기 시작하고 지속력도 최하... 당일만 보기 괜찮고 다음날부터는 지저분해져서 바로제거했어요	0
가격대비 별로....트렁크 청소하는데 연결 부위 툭하면 빠집니다....제일 중요하건 손바닥에 보이는 작은 돌 알갱이도 흡입을 못해요. 진짜 몇일 검색하고 찾다가 구매 한건데.....개실망...	0
쭈갑 마릿수가 평점을 주게 만드네요	1
2주 사용으로 확실히 달라진다는건 큰 희망이겠죠. 촉촉하고 흡수력도 나름 괜찮은것 같아 꾸준히 사용하려구요. 저렴한 금액으로 좋은 성분까지 추천할만해요.	1
저렴해서 구입했지만..그저그럼	0
배송 빠르고 친절합니다. 상품 마음에 듭니다	1
ㄱ자몰딩이 좀얍아요	1
튼튼하고 깔끔 견고 베란다꺼와 겸용으로 실내에서쓰고있어요	1
막 신기 좋아요 한해신을듯	1
한꺼번에 배송되어 한 박스 안에 왔는데, 배송료 두번 청구된건 no이해	0
물건은 괜찮은데, 냄새 너무 심해요. 머리 아파요.	0
너무맛있어서... 너무 맛있게잘먹어서 또구매했어요! 일일카페 할일있어서 구매했는데 대만족이었습니다♡강추에요><	1
킹왕짱 오래동안 자취를해서 항상 부실하고 빠지는 갈빗살때문에 짜증났었는데 바꾸고나니 왜이제야바꿨는지싶을정도로 단단합니다	1
배송 오류가 많으니 구매시 참고들 하세요	0
재구매 포장 좀 제대로 하세요	0
재구매 물류팀 직원 전원교체. 국회의원 발의 건의 내고싶다.	1
낱개포장이 아니어서 살짝 당황했네요..; 박스를 여니 바로장갑이..;;; 얇은편이에요 손이큰편이라 M사이즈 손가락 끝까지 닫네요ㅎ	1
에고ㅠ 붙이고 그날 저녁에 우두두두두,... 군데군데 떨어지고ㅠㅠ 불편해요 붙이는게 !!! 비추합니다	0
선물할려고 선물용황금보자기를구매했는데 황금보자기가 검정색으로물들고 테이프도 발라져있고 택배송장도 붙혀져서 이걸어떻게 선물을합니까 물뚝뚝떨어진채로 선물할까요??ㅡㅡ	0
호텔배게 계속 찾아 다녔는데.. 몇만원 저렴한거 사서 계속 실패하다가 이번에 이불 주문하면서 같이 사봤어요~ 제가 찾던 그 높이에 푹신하고 안정적인 느낌이에요ㅎㅎ!	1
부채살 시켰는데 덧살이 무지 많이 붙어있네요 ㅎㅎ	1
시원하고 부드러운 소재예요	1
재구매 빨래하고나면 어깨패드가 뭉치고 쏠려서 별로다.	0
딱!!!가격만큼이네요!!!이런 물건에 보정속옷이라는 말을 쓸까요~~진짜 그냥 메리야스로 입을 정도입니다 s사이즈인데도 말입니다	0
부서진게 와서 아쉬웠지만 가격대비 좋아요	1
구명조끼도 직접전화해서 걸어가서찾으러가야되고 날짜도제대로썼는데다르다하고 반납할때도 불편합니다. 재밌게놀고싶으시면하지마세요.기분망칩니다	0
실온 또는 냉장보관 해야한다고 들었는데... 날도 더운데 배송시작하고 거의 일주일동안 밖에서 이리저리 돌다돌다 왔습니다 당연히 얼음은 다 녹아있었습니다 여름에는 좀더 배송에 신경써야 하는거 아닌가요...	1
기대가 컸나봐요. 드라마틱하게 나오진 않네요	0
예전에 주문햇을때는 괜찬았는데 이번건 너무 빠싹 굽힌거 같아요~~ 너무 건조 햇어요	0
까끌할까봐 걱정했는데 편하네요! 입어보니까 더 이뻐요 3개 구매하길 잘한것 같아요ㅎㅎ	1
냄새너무나요 빨았는데도 고대로냄새남음 역겨워요	0
접착력이 그닥좋지 않네요	0
열이 약한 거 같아요 ㅠ	0
배송중이라 뜨고 배송이 늦어요.	0
사계절 다 사용할수 있을것같아서 만족	1
건조기에 넣을땐 하나씩	1
콜드브루 넘 좋아하는데 한병 사무실에 두고 나머지는 집에서 먹으려고 샀어용	1
재구매 진정되는거 같기더 하고 아닌거같기도 하고ㅠ 아직더 써좌야할듯	1
볼이 너무 작아서 불편	0
박음질이 뜯긴채옴 쓰다버린거받은느낌임반품하려다가 논쟁하기싫어 그냥 구석에 처박아놓음	0
좋아요~~^^ 너무 맘에 들어요~~	1
그냥 장복으로 즐겨먹습니다	0
검정샀는데 색깔이 거의 국방색급이에요..	0
상품평이 너무 좋아 구매했는데 제품의 질에 비해 가격이 너무 비싼거 같네요.	0
아동용. 정말 아동용입니다. 유치원생들 정도? 초3 학생 쓰려고 샀는데 넘 작네요. ㅠㅜ 택을 때버려서 반품도 못하고 ㅠㅜ	0
불량입니다. 끼워지지가 않아요. 십원짜리라 그러려니 하겠지만 배송료가 너무 아깝네요	0
약하고... 신발이 똑바로 안 들어가고....	0
배송늦은건 이해하는데 아무리 생물이라 해도 상하기 일보직전이네요 아이스팩도 밑이아닌 위에두셔서 더 그런듯	0
붙이기도 간편하고 좋아요. 그러나 금방 더러워지는 것 같아요	0
저렴한가격에 무료배송까지~~ 서비스티 감사!	1
만족합니다 ㅎㅎ	1
아이보리색상 샀는데 가디건이랑 나시 색깔이 확연히 다릅니다;; 이럴거면 나시 가디건 따로사서입지 뭐하러사요 가디건은 크림빛도는색이고요 나시는 흰색에가까운 깨끗한아이보리에요.	0
시간 약속 못지킵니다. 제품 마감상태 및 도장상태 좋지 못합니다. 외관 찍힘 긁힘 있습니다.	0
재구매 정말 너무 하네요 첫번째 구매해서 너무 만족해서 재구매 했는데 이건 너무 최악이네요 알도 작고 맛도 첫번째 구매한것 보다 신선하지 않네요 재구매 후회됩니다^^;	0
재구매 집에서 담가먹는 맛이예요. 공장김치도 좋아하는 편인데 이건 차원이 다르게 맛있예요^-^	1
실망이네요	0
재구매 봄에 유럽여행때 옷에 깔 맞춰 잘했어요	1
하판에 나무들은 타카로 고정되어 있습니다. 마무리가 잘 안되어 있어서 손다칠뻔 했네요. 가격이 저렴한데는 이유가 있었어요.	0
충전도불편하고 충전하고 오래안가네요	0
얼굴이 찌그러진 인형을 주셨네요... 실망입니다.	0
마감ㅡㅡ 싸서반품하기도그렇고 냄새도있고 그냥 장바구니용도로쓰려구요	0
책상두 잘도착햇구 다좋은데 철제?부분 때문에 의자가 안들어가서 원목책상은 다시는안살듯	1
마감이제데로안된거같네요 어떻게해야하나요..	0
배송 받고 2번 썼는데 찢어지고 부숴졌어요.색감만 예쁘고 내구성은 영 아니네요 실망스러워요	0
노트북에서 동글이 사용하려고 산건데 ㅠㅠ 작동은 안됩니다 반품비용이 더 나오니까 그냥 가지고 있긴 한데, 사용은 안돼요 ㅜㅜ	0
10일만에 고장나서 문의 드렸더니 답장도 없었네요 ..	0
기존 암막 커튼을 사용했는데 너무 어두웠어요. 그래서 흰색으로 블라인드를 설치하니 넘 환하고 좋네요~	1
재구매 30개 한판을 샀는데 12개가 깨져서 왔어요.저번엔3개만 깨졌었는데 무슨일인가요?	1
아이들이 좋아합니다.	1
4개중에 2개가 터졌네요	0
타이트해요 80d입는데 작음, 입다보면 늘어나길바라는중인데, 답답해서 못입고있음	0
맛이 그냥 그래요ㅠ	0
재재재구매입니다~! 항상 잘 먹고 있네요~번창하세요!	1
재구매 박음질이 엉망이어서아쉬웠어요	1
장마철에 아주 잘사용했습니다	1
재구매 예전부터 원래쓰던제품으로 아주좋아요 발림성이좋네요	1
석유 냄새가 너무 심해요 ㅠㅠ 여러개 샀는데 ㅠ 산지 한달됐는데도 안없어지네요	0
안에 용량은 적은데 밖에 사이즈가 너무 큽니다 플라스틱 느낌이 퀄리티가 낮아요	0
조립해야하지만 보관상자에보관하니 좋습니다	1
뻣뻣해서 먹기불편해요 동네보다 싸다고 큰용량구입한거 마니후회했네요	0
잘우러나고 맛도 좋고 좋은거같아요 다음에 또 구매할 예정이에요	1
포장도 너무 이쁘고 꽃도 이쁘서 완전 맘에 들어요! 감사합니다~	1
이쁘긴한데 생각보다 너무 크고.. 가성비가 너무 낮음.. 최소한 버튼 눌러서 커버가 열리게 했음 만족스러웠을듯...	0
딸아이 눈옆에 잘바르고 있어요 효과가 있으면 좋겠네요	1
튼튼하고 좋네요 잘쓸게요	1
무 다터져서 옴 ㅡㅡ 궁물 다샛음 ㅡㅡ 이게뭐임 ㅡㅡ	0
흘러내리고 무겁고 시원한줄모르겟고 반품비 아까워서 걍 씀 이 가격에 이 제품은 좀 별로인듯	0
자주 이용하고 소개도 한집인데 갈수록 서비스가별로인듯. .. 이틀이 다되가도 준비중이고 문의 했더니 답ㄷ없이 배송 날리고.. 좀 그래서 끄적입니다.	0
제품 아주 저렴하게 구매했어요 마음에 듭니다 :D	1
몸무게 80킬로인테 충분히 잘 버텨주네요	1
사진보다 좀더 진한 핑크? 버건디? 레드? 컬러이름을 딱 뭐라고 하기가 어렵네요 ㅎㅎ 그래도 예쁘게 배게 하나 뚝딱만들었어요 브라운 있으면 진짜 사고싶었는데 품절이라 아쉬웠어요ㅠ	1
빨대 끼우니 딱 공차같네요 ㅋㅋㅋ 잘 받았슴다 근데 투명색도 나왔으면 좋겠어요☺️	0
넘무 좋아요 택배 받자마자 달려갔습니다.역시 금콩입니다.PG 구입한다는걸 실수로 HG로 구입한거 빼곤 다 맘에 들어요나중에는 PG HG 따로 구분해주셨음 좋을꺼같아요	1
냄새좋고 꼼꼼하게 포장되있어서 좋아요	1
일부 주문한 상품이 도착하지 않았습니다.	0
넉넉한 사이즈의 모자라서 더 좋아요! 캠핑장 가서도 썼는데 햇빛 가리기도 좋고 민낯 부담도 그만큼 줄어들죵! :-) 이뻐요!!!	1
빨래입기도전에건조기로 쫙줄어듬	0
1.기포 심하게 생김 2.조사기? 나왔다 안나왔다가 함 3.지문인식 안됨 4.강화유리에 붙은 스티커 띄면 자국 잘 안지워짐 무엇보다 지문 인식이 안되니 필요가 없네요 돈만 날린거 같은 느낌	0
양도 많고 맛도 있어요~ 옛날 연탄갈비집에서먹던 그런맛이라고 해야하나 맛있어요	1
배송이 정말빠릅니다. 나무 색상도 이쁘고요 추천	1
사용 첫날 사망... 이거 원래 이리 쉽게 부러지는건가봐요,.. 실망스러워요...	0
배송이 정말 만족스럽지 못했습니다. 선반이랑 기둥이 따로 오다니요. 그것도 이틀을 간격으로. 어떻게 배송 전달을 하면 이런일이 생길수가 있는지..	0
너무 허술하게 만듯것같네요;;; 적당히 조여도 조금만 진동있음 풀려버리고 꽉 조이자니 망가지고ㅡㅡ 어떻하라는거죠?	0
너무 비싸게 샀어요 그닥 기능이 별로에요	0
스크레치도 많고 너무 무겁고 다리에는 페인트도 벗겨져있어요	0
역시 소문값 하는 제품이네요 좋아요	1
귤이 신선하기 보다 꼭지가 말라 갈색이고 주변이 말라버렷어요 연휴기간이라 따로 전화하기도 그렇고 해서 그냥 두었는데 3분의1가량은 버렸네요 ㅠㅠㅠ 달긴 했지만 탱탱함이 없었어요	0
아이가 넘 좋아해여	1
만족합니다 만족합니다 진짜 너무 좋아요 만족합니다 진짜 너무 좋아요 만족합니다 진짜 너무 좋아요.	1
5g연결이 안됨 모니터가 이상한걸수도 있는데 안됨	0
아직은 조금 크기는 한데.. 아기가 앉고 침 많이 흐를때 좋을 것 같아요~ 무늬도 예쁘고 만족합니다~	1
배송은 빨랐지만 상자안에 바퀴벌레가 들어 있어 깜짝놀라네요~ 위생상태가 영~ 아니네요 좀더 신경좀 써주세요	0
항상 같은걸 써용ㅎㅎ 옷도안흘러내리구좋아용	1
배송 빠르고 좋아요! 시윈한 여름 보내겠네요~!	1
제작 문제로 배송이 엄청 느렸지만 상품은 너무 마음에 듭니다~ 작은 사이즈를 원했었는데 작은 사이즈 파는 곳이 별로 없더라구요ㅠㅠ 근데 여기는 작은 사이즈도 팔고 예뻐서 좋아요! 도톰하니 품질도 좋습니당	1
늘쓰던제품 넘저아용 ㅎ	1
구성품도 다양하고 바늘이 여러가지라 좋아요	1
한 번쓰고 두번째는 엉겨서 못쓰는 제품.리뷰보지 않고 사서 후회하는 제품.	0
뭐ㄹㅏ해야되지 찌글찌글한게 너무 심하네요..ㅠ 굴곡부분이 그전에 쓰던 프라이버시 필름보다 심해서 약간 어지러워요ㅠㅠ 그전꺼 다시 구입하려구요ㅠ 지문은 잘안묻어요ㅠㅠ 별다섯 믿고 구입한건데 화면 보기가 싫어지네요ㅡㄹ	0
아들이맘에들어해요~^^	1
굳굳굳 싸게 잘 샀습니다 종이 질도 좋아용 ㅎ 연습장 용도로 샀는데 일년 내내 펑펑 써도 남을 것 같네요 2500장 ㅋㅋㅋ	1
가격만큼하고. 아랫쪽선반은. 삐뚫어져있어요. 교환이번거러워서 그냥사용합니다.	1
일반 면티에 어깨뽕만 붙인듯한데 가격이 과한듯 하네요	0
설탕이 터져서 가루가 끈적거려요	0
재구매해서 계속 사용중인 네임스티커입니다 방수도잘되고 살균기에넣어도 되고 세척해도 떨어지지않아요	1
이쁘고 멋쓰럽네요	1
사이즈가 안맞는건지 성인 여자고 머리 작은 편이라 아동 주문했는데 물이 새서 좀 힘들었어요ㅠ	0
섬유 블랙인데 우드로 왔어요 우드는 구리구리한 냄새가 나네요	0
원래 있던거 한장더 주문이요 깔끔 그 자체	1
편하고 좋아요 배송도 빠르구뇨	1
건강위해서 챙겨먹어볼랍니다~~	1
슬림하니 좋아요~근데 벽부착형인줄알앗는데 아니네요~ㅠ	1
아직 춥지않아 써보진못했지만 곧 국토종주 할때 엄청 유용하게 쓸거같습니다 추천꾸욱!	1
배추를 절일때 질떨어지는 소금을 썼는지 김치가 쓰네요. 김치를 많이 절인건지 배추가 나쁜건지 질겨요. 싼게 비지떡.... 다음부터 메이져 메이커로 주문해야겠어요! 명인은 아무나 하는것임....	0
아직 써보지않아서 잘되는진 모르겠지만 잘되길바라며..배송은 빨리 왔습니다!!	1
새휴지 넣으면 못씀 휴지 케이스가 작은건지 새휴지를 넣으면 꽉껴서 휴지가 안나옴.. 처음엔 사용못하고 휴지가 줄어들면 쓸수 있음..ㅡㅡ;;	0
아기방에 놨는데 모기장 캐릭터가 너무 귀엽네요.	1
이제품 28cm 짜리 4개월 썼는데 하는 것마다 달라 붙고 난리네요. 관리 신경써서 했음에도 이렇게 되서 코팅 내구도에 의문이 듭니다. 결국 갖다 버렸어요.	0
맛있는 두유 싸게 잘샀어요~배송도 빨라요~	1
배송하는 기사분 정말이지 최악으로 기분나쁘네요 주소지를 찾기 어려웠다면서 핀잔을 일삼더니 배송비는 배송비대로 받고 진짜 최악이에요	0
급해서 일단 쓰는데 포장상태 너무 심한거아닌가요? 누가 쓰던걸 보낸건지 따져있고 내용물이 이미 새가지고 포장뜯기도 전부터 냄새나고ㅡㅡ 진짜 시국이 시국이라 급해서 씁니다	0
그닥..별로.돈 쪼꼼 아까움	0
아주좋아요 배송도빠르고 강아지들 빗질하기에도 아주 좋네요 큰맘먹고 종류별로 샀는데 모질다른아이들에게 맞는걸로 빗어주는 확실히좋아요	1
막 떨어져요 첨에 잘 붙어 있어서 디자인도 이쁘고 해서 맘에 들었는데 잘붙질않아 계속 저 상태로 씁니다	0
재구매 항상 박스 잘 사용하고 있습니다. 이번엔 발로밟은 박스가 함께 왔네요 이런건 쓰지도 못하는데 ㅠㅠ 좀 아쉽습니다	1
오배송 이슈가 있어서 별점 덜 줍니다. 생각보다 활용도가 떨어지는듯 ㅠ 점착면이 왜 분리되는 부분까지 있는지 모르겠네요ㅠㅠ	1
매트는 먼지가 많아서 닦고 썼어요 폼롤러는 젤 강도약한거인데도 자극되네요 운동 열심히 할께요	1
제품의 퀄리티는 정말 좋습니다 호환도 정말 잘되고요 그러나 페브릭으로 감싸져있어서 찢어지면 안에심이 튀어나와 상태가 잘 접히지도 않는 그런 상황이 벌어집니다 두번재 구매인데 이번에 신경써서 사용해보려고요	1
꽝입니다. 아주 나쁜곳 입니다. 하지마세요! 분명 후회합니다.	0
늘사용하는고라.. 만족합니다	1
배송상 문제가생겨 배송은 좀늦었습니다 55인치 TV올려놨는데 딱맞네요 분위기있고 수납공간많아서 좋아요 신혼집 가구로 구매했는데 잘산거같아서 좋네요	1
원래쓰던거 싸게 잘샀어요 ㅋ	1
린스가 뭔지 모르지만 암튼 따를때 다 흘렸어요. 용기가 별로예요	1
가성비 좋네요. 적극 추천합니다	1
디자인,색깔 모두 깔끔하고 예뻐요.	1
굿굿 쫄면 무지하게 시켜먹었던구매자예요ㅋ 돈까스 출시됐길래 평타는치겠지하고 시켰는데 존맛이예요..고기잡내 1도없고 돈까스가진짜파삭해요 돈까스튀김가루 같은게뭔가틀린듯.. 소스가 완전 경양식돈 까스소스맛인데 추억돋고 맛있어요ㅜ 아 진짜다이어트글렀음..	1
편함 김밥 포장지 너무편하고 좋습니다. 항상 쓰던 재품인데두 너무 잘쓰고 있습니다. 많이 파세요^^	1
화사하고 무난해서 어느 피부톤이든 쓰기 좋은 것 같아요.♡♡♡♡♡	1
사이즈도 적당하구 괜챃ㅎ아요~!	1
포장이 아쉽네요,. 성의없어서요. 오늘부터 먹어보려해요 효과는 2후에 나타겠죠	1
도마 맘에 들어요 아주 좋습니다	1
블랙 편하게 잘 입고 있어유	1
편해요 정말 정말 핵편해요. 그럴때 있잖아요. 근사한 풍경에 커피한잔. 가방에 티안나게 가져가서 근사한 추억하나 더 만들었어요 너무 간편하고 좋네요	1
제품에 하자는 없으나...기대가 너무 컸나봐요... 별로 맛은 없네요....	0
크기가 커서 많이 들어가고 좋네요~	1
아이가 잘 먹네요`~~	1
기분에 세타기가 깨끗해 질것같아요^^	1
평소쓰던 제품이라 구매했습니다.	1
이빨이끼지도않고 적당히달고 맛나요! 양도적당하고좋아요 단점은 다이어트용으로 샀는데 자꾸 간식으로먹게됩니다...	1
